X1,X2,X3,Result
0.281760,0.001667,0.00091,5194.775879
0.205255,0.002837,0.00026,5380.414551
0.205107,0.001728,0.00009,5067.472656
0.327579,0.001204,0.00010,5409.111328
0.161182,0.001402,0.00017,5339.686523
0.280505,0.002093,0.00111,5623.010742
0.329531,0.003305,0.00034,6074.410156
0.272089,0.002777,0.00042,5206.986816
0.324372,0.001263,0.00034,5845.426270
0.376188,0.002668,0.00016,6273.383301
0.273445,0.002456,0.00041,5252.327637
0.267970,0.001745,0.00042,4934.147461
0.328581,0.001601,0.00036,5159.106445
0.331891,0.001720,0.00016,5646.382812
0.256243,0.001349,0.00091,4884.039551
0.215789,0.002188,0.00038,5277.605957
0.341055,0.002409,0.00011,6040.799316
0.273425,0.001417,0.00017,4922.022461
0.241221,0.002382,0.00013,5258.291992
0.311678,0.001357,0.00056,5035.403809
0.256243,0.001349,0.00091,5548.324707
0.296698,0.001297,0.00015,5579.580078
0.244202,0.001591,0.00046,5278.435059
0.198492,0.001691,0.00025,5015.716309
0.335930,0.001463,0.00051,5944.846680
0.222578,0.001875,0.00010,5693.703613
0.159407,0.001686,0.00041,5661.949219
0.260178,0.002345,0.00089,5484.429688
0.326440,0.001407,0.00017,5540.143555
0.311944,0.002580,0.00024,5478.480469
0.304885,0.001956,0.00011,5425.625488
0.169771,0.001347,0.00015,4967.686523
0.275420,0.001158,0.00023,5650.009766
0.181293,0.001507,0.00101,5344.625977
0.273451,0.001610,0.00012,5512.130371
0.229448,0.001561,0.00054,5320.374512
0.229959,0.001488,0.00010,5221.428711
0.270492,0.001526,0.00079,5351.508789
0.366485,0.001112,0.00050,5132.202148
0.215425,0.002099,0.00108,5167.402344
0.172370,0.001134,0.00014,4998.798828
0.277063,0.002160,0.00013,5587.877441
0.259437,0.001333,0.00089,5706.528809
0.295636,0.001928,0.00009,5720.680176
0.241401,0.001516,0.00042,5485.314941
0.169771,0.001347,0.00015,5559.897949
0.195547,0.001287,0.00012,5471.767090
0.218258,0.001859,0.00023,5497.141602
0.294701,0.001330,0.00059,5065.105957
0.192364,0.002323,0.00120,5806.314941
0.253440,0.001336,0.00009,4771.850098
0.223491,0.001038,0.00014,5801.439941
0.303373,0.001482,0.00080,5280.838867
0.339409,0.001201,0.00084,5433.924805
0.190631,0.001278,0.00016,5236.038574
0.291754,0.002630,0.00037,5381.457031
0.251461,0.002093,0.00053,5350.048340
0.160345,0.001272,0.00016,4986.754883
0.314035,0.001572,0.00098,5510.437500
0.201522,0.002098,0.00065,5430.263184
0.158129,0.001440,0.00043,5479.495117
0.200814,0.001331,0.00010,5703.270996
0.362928,0.001768,0.00015,5783.704590
0.230600,0.002104,0.00011,5254.073730
0.206335,0.001331,0.00012,5220.554199
0.281414,0.001545,0.00080,5419.329102
0.294100,0.001489,0.00022,5745.623535
0.219941,0.001621,0.00014,5130.763184
0.181644,0.001441,0.00014,5227.451172
0.146853,0.001529,0.00013,5604.865234
0.253440,0.001336,0.00009,5171.062012
0.179328,0.001122,0.00014,5527.943359
0.329361,0.001174,0.00066,6093.142090
0.252228,0.001383,0.00017,5277.442871
0.174040,0.001540,0.00010,5506.474121
0.166763,0.001323,0.00013,5320.009277
0.283067,0.001810,0.00014,4867.670898
0.222134,0.001826,0.00060,5694.531250
0.228824,0.001326,0.00014,5118.518555
0.255729,0.001453,0.00042,4884.883789
0.308715,0.001455,0.00008,5759.062012
0.206612,0.001788,0.00010,5365.347168
0.233395,0.001240,0.00013,5302.588867
0.200074,0.002392,0.00008,5458.893066
0.172474,0.001529,0.00092,5418.125488
0.310839,0.001979,0.00015,5795.467773
0.374439,0.001198,0.00008,5521.683594
0.298672,0.001729,0.00009,5229.715332
0.207727,0.001247,0.00092,4941.942871
0.254681,0.001393,0.00010,4979.624512
0.315521,0.001448,0.00012,5365.530273
0.288335,0.002386,0.00072,5899.447754
0.226702,0.001036,0.00044,5350.467773
0.212497,0.001494,0.00044,5474.804199
0.156298,0.001321,0.00079,5120.821777
0.283067,0.001810,0.00014,5779.647461
0.298079,0.001212,0.00035,5672.679688
0.225910,0.001138,0.00100,5114.594727
0.207499,0.001135,0.00008,5492.416992
0.274571,0.001061,0.00017,5415.012695
0.182933,0.001546,0.00066,5434.622559
0.262664,0.001522,0.00016,5334.457520
0.255881,0.001392,0.00012,5139.061035
0.161185,0.001281,0.00013,5420.453125
0.146635,0.001698,0.00086,5501.393555
0.277845,0.001299,0.00013,5382.149902
0.256815,0.001244,0.00017,5354.386230
0.301793,0.001614,0.00010,5379.900391
0.241510,0.001477,0.00053,5638.682129
0.137518,0.001493,0.00052,6132.705566
0.324995,0.002038,0.00012,5801.191895
0.203879,0.001992,0.00012,5176.836426
0.171385,0.001485,0.00091,5450.581543
0.252929,0.001602,0.00007,5025.951660
0.212119,0.001483,0.00011,5080.038086
0.274670,0.001339,0.00073,5138.406250
0.243257,0.002131,0.00010,5202.293945
0.325921,0.001121,0.00011,5247.566406
0.252481,0.001399,0.00009,5171.356445
0.178425,0.001047,0.00012,5235.355957
0.252929,0.001602,0.00007,5340.631348
0.190276,0.001330,0.00010,5020.043945
0.213049,0.001203,0.00094,5515.376465
0.241206,0.001502,0.00064,5322.543457
0.262487,0.001356,0.00012,5353.437988
0.289837,0.001192,0.00010,5387.367188
0.313029,0.001230,0.00008,5472.634766
0.305190,0.001621,0.00007,5758.289062
0.175513,0.001326,0.00020,5328.388184
0.288458,0.001116,0.00019,5594.499512
0.213727,0.000899,0.00006,5112.259766
0.246573,0.001643,0.00094,5597.504395
0.269969,0.001444,0.00014,5578.585938
0.233451,0.001294,0.00064,5517.970703
0.299423,0.001666,0.00011,5661.231445
0.219616,0.001288,0.00011,5070.200684
0.268387,0.001576,0.00017,5908.213867
0.154810,0.001863,0.00011,5647.951660
0.275540,0.001134,0.00011,5248.644531
0.255957,0.001102,0.00008,5520.926270
0.174242,0.001473,0.00009,5153.944336
0.267429,0.001697,0.00007,5673.311035
0.219005,0.001411,0.00083,4975.535156
0.190131,0.001774,0.00010,5613.848633
0.247244,0.001657,0.00097,5070.955566
0.219005,0.001411,0.00083,5373.752930
0.222142,0.001108,0.00012,5237.118652
0.202043,0.001391,0.00012,5229.806152
0.278911,0.001869,0.00109,5402.716309
0.190894,0.000995,0.00006,5151.757324
0.158153,0.001609,0.00010,5454.085938
0.211624,0.001303,0.00091,5369.655273
0.213305,0.001329,0.00097,4849.909180
0.236509,0.001014,0.00005,5403.917969
0.201092,0.001379,0.00009,4957.175781
0.226598,0.001394,0.00013,4983.602539
0.318477,0.001000,0.00012,5425.179688
0.188240,0.001213,0.00071,5235.002930
0.231062,0.001337,0.00013,5388.112793
0.335777,0.001536,0.00021,6055.563965
0.209311,0.001386,0.00084,5560.367676
0.320140,0.001435,0.00074,5366.026367
0.212963,0.001079,0.00009,5431.983398
0.285019,0.001263,0.00105,5277.724609
0.194400,0.001432,0.00012,5151.947266
0.201421,0.001144,0.00070,5070.284180
0.302507,0.001273,0.00008,5392.990723
0.273267,0.001394,0.00064,5041.337402
0.205951,0.001495,0.00068,5732.552246
0.263575,0.000982,0.00010,5283.278320
0.213305,0.001329,0.00097,4993.042969
0.163033,0.001118,0.00008,5612.985840
0.228306,0.001383,0.00013,5050.935547
0.220938,0.001127,0.00052,5408.509277
0.169439,0.000963,0.00059,5145.493164
0.156763,0.001173,0.00008,5329.783203
0.235203,0.001465,0.00077,5553.145996
0.193276,0.001099,0.00012,5478.639160
0.255462,0.000879,0.00107,5164.283203
0.208240,0.001935,0.00074,5535.913086
0.178042,0.001109,0.00123,5397.394043
0.267025,0.001298,0.00076,4816.783203
0.341928,0.001594,0.00013,6168.534668
0.198775,0.001040,0.00010,5101.065430
0.173953,0.001070,0.00006,5163.394531
0.214249,0.001133,0.00015,5718.803223
0.180373,0.001402,0.00061,5517.240234
0.265371,0.001285,0.00011,5488.475098
0.234852,0.001194,0.00075,5169.975098
0.253141,0.001146,0.00082,5779.038086
0.240355,0.001204,0.00085,5644.041992
0.174992,0.001440,0.00123,5193.763672
0.216989,0.001291,0.00013,5270.550293
0.219083,0.001394,0.00099,5091.320801
0.208038,0.001303,0.00103,4857.245605
0.267025,0.001298,0.00076,5116.608398
0.230141,0.001164,0.00092,4999.396484
0.191959,0.001196,0.00107,5301.691895
0.203533,0.001233,0.00012,5148.510742
0.210507,0.001339,0.00096,5300.307617
0.234537,0.001228,0.00008,5028.894043
0.239932,0.001377,0.00103,5606.277832
0.145295,0.001084,0.00103,5348.994629
0.271029,0.001176,0.00106,5998.494629
0.230464,0.000784,0.00084,5240.785645
0.179415,0.001048,0.00042,5352.671875
0.200856,0.001040,0.00085,4837.769043
0.209948,0.001447,0.00078,5768.225586
0.211936,0.001403,0.00059,5063.191406
0.264365,0.001088,0.00013,5324.091309
0.215186,0.001550,0.00083,5681.026367
0.130136,0.001078,0.00062,5970.269043
0.205697,0.001137,0.00066,5031.352539
0.290491,0.001313,0.00069,5827.715332
0.251324,0.000961,0.00070,5539.075684
0.169156,0.001368,0.00009,5488.847168
0.154717,0.001148,0.00009,5124.065918
0.186410,0.000976,0.00011,5180.215332
0.234024,0.001126,0.00015,5537.903809
0.213996,0.001245,0.00106,5055.485352
